startYear,showName,theatre,type,attendance,capacity,grossEarnings,performances
1990,Tru,Booth,Play,5500,88,134456,8
1991,Miss Saigon,Broadway,Musical,1737,100,100647,0
1991,Miss Saigon,Broadway,Musical,12160,100,634424,0
1991,Miss Saigon,Broadway,Musical,13921,100,713353,0
1991,Miss Saigon,Broadway,Musical,10973,90,573981,4
1991,Miss Saigon,Broadway,Musical,14076,101,706793,8
1991,Miss Saigon,Broadway,Musical,14065,101,714968,8
1991,Miss Saigon,Broadway,Musical,14064,101,730765,8
1991,Miss Saigon,Broadway,Musical,13896,100,766713,8
1991,Miss Saigon,Broadway,Musical,13738,99,763332,8
1991,Miss Saigon,Broadway,Musical,13897,100,769137,8
1991,Miss Saigon,Broadway,Musical,14016,101,774412,8
1991,Miss Saigon,Broadway,Musical,14088,101,771767,8
1991,Miss Saigon,Broadway,Musical,14088,101,770819,8
1991,Miss Saigon,Broadway,Musical,14088,101,771192,8
1991,Miss Saigon,Broadway,Musical,14088,101,777088,8
1991,Miss Saigon,Broadway,Musical,14088,101,779802,8
1991,Miss Saigon,Broadway,Musical,14084,101,782314,8
1991,Miss Saigon,Broadway,Musical,14088,101,781413,8
1991,Miss Saigon,Broadway,Musical,14088,101,786612,8
1991,Miss Saigon,Broadway,Musical,14088,101,782060,8
1991,Miss Saigon,Broadway,Musical,14088,101,781332,8
1991,Miss Saigon,Broadway,Musical,14088,101,784392,8
1991,Miss Saigon,Broadway,Musical,14088,101,786452,8
1991,Miss Saigon,Broadway,Musical,14088,101,786995,8
1991,Miss Saigon,Broadway,Musical,14088,101,783503,8
1991,Miss Saigon,Broadway,Musical,14088,101,781614,8
1991,Miss Saigon,Broadway,Musical,14088,101,780148,8
1991,Miss Saigon,Broadway,Musical,14088,101,776172,8
1991,Miss Saigon,Broadway,Musical,14088,101,775124,8
1991,Miss Saigon,Broadway,Musical,14088,101,776901,8
1991,Miss Saigon,Broadway,Musical,14088,101,771361,8
1991,Miss Saigon,Broadway,Musical,14088,101,777898,8
1991,Miss Saigon,Broadway,Musical,14088,101,784499,8
1991,Miss Saigon,Broadway,Musical,14088,101,780494,8
1991,Miss Saigon,Broadway,Musical,14088,101,781617,8
1991,Miss Saigon,Broadway,Musical,14088,101,779435,8
1991,Miss Saigon,Broadway,Musical,14088,101,784733,8
1991,Miss Saigon,Broadway,Musical,14088,101,782279,8
1991,Miss Saigon,Broadway,Musical,14088,101,780343,8
1991,Miss Saigon,Broadway,Musical,14088,101,778474,8
1991,Miss Saigon,Broadway,Musical,14088,101,800315,8
1992,Miss Saigon,Broadway,Musical,14088,101,837851,8
1992,Miss Saigon,Broadway,Musical,14088,101,773439,8
1992,Miss Saigon,Broadway,Musical,14082,101,735927,8
1992,Miss Saigon,Broadway,Musical,14088,101,759192,8
1992,Miss Saigon,Broadway,Musical,14088,101,741472,8
1992,Miss Saigon,Broadway,Musical,14088,101,741091,8
1992,Miss Saigon,Broadway,Musical,14088,101,750398,8
1992,Miss Saigon,Broadway,Musical,14088,101,756909,8
1992,Miss Saigon,Broadway,Musical,14088,101,746225,8
1992,Miss Saigon,Broadway,Musical,14088,101,708433,8
1992,Miss Saigon,Broadway,Musical,14088,101,708315,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7849,90,321851,0
1992,Miss Saigon,Broadway,Musical,14088,101,710345,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,8333,95,338536,0
1992,Miss Saigon,Broadway,Musical,14088,101,712946,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7774,89,313611,0
1992,Miss Saigon,Broadway,Musical,14088,101,710415,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7656,87,314028,1
1992,Miss Saigon,Broadway,Musical,13773,99,699688,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,8381,96,354794,8
1992,Miss Saigon,Broadway,Musical,14019,101,700167,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,8663,99,368407,8
1992,Miss Saigon,Broadway,Musical,14088,101,705154,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7875,90,332830,8
1992,Miss Saigon,Broadway,Musical,13953,100,699304,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7070,81,293613,8
1992,Miss Saigon,Broadway,Musical,13938,100,697606,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7673,88,328716,8
1992,Miss Saigon,Broadway,Musical,14025,101,704589,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6958,79,289457,8
1992,Miss Saigon,Broadway,Musical,14088,101,706406,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6062,69,249238,8
1992,Miss Saigon,Broadway,Musical,13912,100,706526,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6059,69,250416,8
1992,Miss Saigon,Broadway,Musical,13596,98,691925,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6142,70,248778,8
1992,Miss Saigon,Broadway,Musical,13956,100,703465,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6111,70,243197,8
1992,Miss Saigon,Broadway,Musical,13916,100,701832,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6009,69,242339,8
1992,Miss Saigon,Broadway,Musical,13930,100,709530,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,4612,53,177043,8
1992,Miss Saigon,Broadway,Musical,13409,96,681135,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6065,69,236411,8
1992,Miss Saigon,Broadway,Musical,13337,96,681649,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,5996,68,226232,8
1992,Miss Saigon,Broadway,Musical,13303,95,676548,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6570,75,241848,8
1992,Miss Saigon,Broadway,Musical,13546,97,689763,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6874,78,263971,8
1992,Miss Saigon,Broadway,Musical,13447,96,685791,8
1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7836,89,312031,8
1992,Miss Saigon,Broadway,Musical,13665,98,699232,8
1992,Miss Saigon,Broadway,Musical,13963,100,712610,8
1992,Miss Saigon,Broadway,Musical,13797,99,705498,8
1992,Miss Saigon,Broadway,Musical,13465,97,691377,8
1992,Miss Saigon,Broadway,Musical,13158,94,666784,8
1992,Miss Saigon,Broadway,Musical,13105,94,670350,8
1992,Miss Saigon,Broadway,Musical,13100,94,667858,8
1992,Miss Saigon,Broadway,Musical,12919,93,652488,8
1992,Miss Saigon,Broadway,Musical,12700,91,646625,8
1992,Miss Saigon,Broadway,Musical,13194,95,661180,8
1992,Miss Saigon,Broadway,Musical,13529,97,683698,8
1992,Miss Saigon,Broadway,Musical,13313,95,654515,8
1992,Miss Saigon,Broadway,Musical,13120,94,651594,8
1992,Miss Saigon,Broadway,Musical,12968,93,639435,8
1992,Miss Saigon,Broadway,Musical,13642,98,681526,8
1992,Miss Saigon,Broadway,Musical,12888,92,633370,8
1992,Miss Saigon,Broadway,Musical,13539,97,685666,8
1992,Miss Saigon,Broadway,Musical,12958,93,657157,8
1992,Miss Saigon,Broadway,Musical,13478,97,674234,8
1992,Miss Saigon,Broadway,Musical,12555,90,642710,8
1992,Miss Saigon,Broadway,Musical,13723,98,703292,8
1993,Miss Saigon,Broadway,Musical,14086,101,761443,8
1993,Miss Saigon,Broadway,Musical,13378,96,671574,8
1993,Miss Saigon,Broadway,Musical,12016,86,589070,8
1993,Miss Saigon,Broadway,Musical,10874,78,536214,8
1993,Miss Saigon,Broadway,Musical,10546,76,512563,8
1993,Miss Saigon,Broadway,Musical,10833,78,509955,8
1993,Miss Saigon,Broadway,Musical,12068,87,568632,8
1993,Miss Saigon,Broadway,Musical,13206,95,621309,8
1993,Miss Saigon,Broadway,Musical,12962,93,588610,8
1993,Miss Saigon,Broadway,Musical,12206,88,553998,8
1993,The Sisters Rosensweig,Ethel Barrymore,Play,6346,97,210560,0
1993,Miss Saigon,Broadway,Musical,12552,90,570125,8
1993,The Sisters Rosensweig,Ethel Barrymore,Play,8420,96,296596,0
1993,Miss Saigon,Broadway,Musical,12312,88,565549,8
1993,The Sisters Rosensweig,Ethel Barrymore,Play,7228,82,251618,4
